Household_Size,Seasonal_Index,Garden_Area,Income_Level,Bathrooms,Appliances_Count,Rainfall,Temperature,Water_Price_Index,Daily_Liters_Used
3.0,0.77,129.0,49063.0,4.0,24.0,21.46,14.36,1.63,948.0
4.0,1.15,140.0,138198.0,2.0,13.0,141.51,15.17,2.03,
5.0,1.31,100.0,58196.0,4.0,6.0,77.03,16.82,2.35,806.0
4.0,1.09,85.0,20877.0,4.0,7.0,0.75,21.86,1.29,989.0
3.0,1.03,65.0,51099.0,1.0,14.0,75.42,35.98,2.26,736.0
4.0,0.95,73.0,130782.0,1.0,6.0,132.7,37.93,2.23,517.0
6.0,1.48,76.0,47689.0,4.0,21.0,9.02,22.15,2.27,1172.0
7.0,1.44,26.0,50935.0,4.0,18.0,135.68,24.87,1.6,909.0
3.0,0.83,124.0,122924.0,1.0,15.0,132.02,32.33,2.23,536.0
3.0,1.2,62.0,49863.0,4.0,10.0,65.75,29.49,2.15,702.0
7.0,1.44,65.0,83382.0,3.0,16.0,95.73,37.35,2.26,1085.0
1.0,0.78,19.0,87946.0,4.0,5.0,134.17,14.43,2.44,10.0
7.0,1.5,16.0,22716.0,3.0,12.0,110.23,12.37,2.49,626.0
4.0,1.4,3.0,90726.0,2.0,5.0,105.12,20.87,2.08,310.0
1.0,0.74,94.0,122072.0,4.0,10.0,,25.07,1.03,606.0
2.0,1.04,,90167.0,4.0,19.0,104.66,25.16,0.73,479.0
6.0,1.13,13.0,71448.0,3.0,9.0,74.93,13.54,2.36,636.0
1.0,1.49,16.0,116256.0,3.0,18.0,194.87,21.57,1.5,43.0
6.0,1.49,70.0,112905.0,3.0,24.0,31.07,19.19,0.74,1045.0
1.0,1.19,0.0,118430.0,1.0,7.0,67.75,19.34,0.94,177.0
6.0,1.4,54.0,88968.0,4.0,10.0,172.01,22.01,1.26,699.0
1.0,0.72,138.0,90474.0,3.0,10.0,161.14,27.99,1.91,388.0
2.0,1.22,133.0,30785.0,1.0,9.0,,27.2,0.73,715.0
3.0,1.59,138.0,99854.0,1.0,8.0,134.24,17.76,1.69,580.0
7.0,1.48,87.0,71415.0,2.0,15.0,65.55,14.63,2.13,967.0
2.0,1.12,85.0,,4.0,17.0,,32.37,0.7,447.0
5.0,1.16,3.0,75514.0,1.0,14.0,122.27,11.62,1.62,
1.0,0.76,119.0,86275.0,4.0,20.0,197.42,15.24,1.44,452.0
4.0,1.41,130.0,69178.0,2.0,14.0,30.43,14.41,2.17,914.0
3.0,1.57,121.0,91138.0,2.0,21.0,94.0,36.15,1.66,905.0
7.0,0.71,66.0,135140.0,4.0,11.0,119.33,37.35,2.49,928.0
4.0,1.55,70.0,47281.0,2.0,19.0,102.52,27.82,2.23,664.0
1.0,0.86,124.0,66854.0,2.0,5.0,56.43,11.99,2.19,421.0
5.0,1.26,94.0,77939.0,3.0,19.0,86.47,30.25,0.99,1035.0
4.0,1.06,109.0,48132.0,2.0,5.0,96.03,32.29,1.95,703.0
3.0,1.18,8.0,38984.0,,12.0,97.54,21.86,2.24,419.0
4.0,1.39,83.0,51875.0,3.0,13.0,35.86,37.26,0.74,1151.0
5.0,0.76,61.0,133758.0,3.0,7.0,70.15,35.05,1.4,938.0
6.0,1.2,56.0,105961.0,1.0,9.0,28.92,17.29,1.96,878.0
1.0,1.06,64.0,106450.0,4.0,20.0,185.51,31.36,1.67,257.0
4.0,1.16,,66751.0,1.0,11.0,147.92,32.59,1.77,698.0
4.0,1.48,95.0,146866.0,2.0,11.0,86.44,22.65,1.22,842.0
4.0,0.98,18.0,113109.0,2.0,5.0,80.87,26.34,0.82,
7.0,0.74,43.0,127051.0,3.0,16.0,71.28,24.87,0.76,957.0
2.0,1.28,83.0,21079.0,3.0,7.0,115.93,14.81,1.89,402.0
5.0,1.51,92.0,115527.0,2.0,11.0,58.75,26.26,1.3,909.0
2.0,1.26,39.0,125008.0,3.0,12.0,39.39,24.04,0.95,734.0
6.0,1.3,48.0,140382.0,3.0,5.0,70.25,15.51,0.53,722.0
3.0,,7.0,46655.0,2.0,13.0,34.94,26.65,1.2,630.0
2.0,0.82,94.0,65203.0,4.0,,18.4,11.85,2.1,653.0
2.0,1.1,136.0,52769.0,2.0,10.0,138.17,31.4,1.87,485.0
6.0,1.1,138.0,41029.0,4.0,23.0,158.17,36.78,2.37,910.0
7.0,1.18,7.0,52574.0,4.0,9.0,177.54,31.01,0.91,706.0
6.0,1.18,90.0,134165.0,3.0,14.0,22.18,37.43,1.83,1222.0
7.0,0.93,74.0,48885.0,2.0,11.0,172.42,19.87,1.18,590.0
3.0,0.72,127.0,97733.0,4.0,17.0,71.27,22.82,0.67,765.0
5.0,1.58,70.0,132698.0,3.0,22.0,176.13,10.72,1.66,434.0
1.0,1.31,54.0,23084.0,1.0,11.0,,,0.79,257.0
1.0,1.59,84.0,,1.0,14.0,106.7,13.2,1.95,361.0
7.0,0.8,55.0,113348.0,2.0,23.0,166.04,22.49,1.42,695.0
1.0,1.16,5.0,42884.0,1.0,13.0,90.85,34.98,2.44,381.0
4.0,0.75,41.0,128730.0,2.0,15.0,180.58,18.86,2.22,299.0
5.0,1.21,62.0,87657.0,2.0,16.0,178.92,39.98,0.85,736.0
3.0,1.02,65.0,82894.0,4.0,5.0,149.25,30.4,1.92,307.0
6.0,1.56,86.0,118802.0,1.0,20.0,125.23,25.56,2.3,796.0
6.0,1.42,53.0,55450.0,4.0,8.0,33.46,26.83,1.76,1078.0
4.0,0.98,92.0,26470.0,1.0,16.0,115.38,18.2,1.29,495.0
5.0,1.25,140.0,74460.0,4.0,6.0,135.83,10.61,2.02,680.0
5.0,0.71,88.0,31049.0,2.0,22.0,140.15,39.76,2.27,874.0
5.0,1.05,89.0,66015.0,3.0,,138.78,13.65,1.91,522.0
6.0,1.3,41.0,119508.0,3.0,18.0,100.29,35.27,1.14,940.0
7.0,1.35,28.0,99553.0,2.0,5.0,79.15,25.37,1.64,870.0
,1.35,124.0,67801.0,1.0,20.0,53.12,15.4,1.31,1154.0
6.0,1.47,114.0,92394.0,4.0,18.0,48.02,36.68,0.96,1289.0
2.0,0.93,57.0,71880.0,2.0,24.0,97.56,20.39,0.5,461.0
5.0,0.75,26.0,47464.0,2.0,14.0,161.14,14.23,1.74,362.0
5.0,0.99,105.0,,4.0,17.0,4.45,17.53,0.6,1165.0
3.0,1.47,16.0,,3.0,,196.38,29.71,0.67,239.0
2.0,,92.0,90111.0,1.0,,99.33,19.56,,386.0
6.0,0.91,40.0,50063.0,2.0,6.0,22.03,34.76,1.23,1038.0
4.0,1.25,142.0,115386.0,2.0,11.0,111.11,10.23,2.29,639.0
,1.56,125.0,,2.0,10.0,77.23,22.34,1.61,525.0
4.0,0.8,29.0,64387.0,2.0,7.0,70.46,15.04,1.03,426.0
3.0,1.21,40.0,127760.0,2.0,18.0,102.52,37.43,,666.0
6.0,1.31,57.0,31221.0,3.0,7.0,79.55,39.13,1.73,1016.0
5.0,1.22,89.0,66900.0,4.0,20.0,120.28,35.28,1.62,811.0
1.0,1.57,146.0,27987.0,3.0,16.0,117.29,10.06,1.17,439.0
2.0,1.25,53.0,75739.0,2.0,11.0,166.82,18.79,1.26,301.0
6.0,0.89,71.0,122489.0,1.0,23.0,98.09,23.8,2.4,740.0
4.0,0.84,,79838.0,4.0,14.0,51.92,35.41,1.01,980.0
6.0,,102.0,103123.0,1.0,11.0,31.73,,2.19,1184.0
7.0,1.06,9.0,111074.0,4.0,23.0,22.32,31.84,1.0,1211.0
6.0,1.11,145.0,119841.0,4.0,10.0,23.41,19.63,2.15,1226.0
7.0,1.26,84.0,,3.0,18.0,138.66,33.39,1.43,991.0
5.0,1.11,43.0,123784.0,3.0,10.0,185.75,28.12,0.68,472.0
4.0,0.74,,143153.0,2.0,18.0,9.66,33.05,1.18,961.0
7.0,1.34,34.0,136736.0,2.0,12.0,,18.24,1.95,693.0
4.0,1.07,134.0,145740.0,1.0,22.0,28.43,18.28,0.76,905.0
5.0,0.72,28.0,76574.0,3.0,9.0,195.3,10.4,1.61,212.0
6.0,0.96,32.0,81497.0,2.0,17.0,81.88,18.11,0.79,844.0
3.0,0.72,61.0,60325.0,3.0,22.0,,36.92,1.57,547.0
6.0,1.47,102.0,71375.0,2.0,23.0,162.0,29.8,0.57,904.0
2.0,1.48,27.0,104518.0,,9.0,195.48,19.41,2.07,135.0
1.0,0.76,108.0,96276.0,2.0,17.0,32.56,22.68,2.26,596.0
2.0,1.01,,,4.0,18.0,96.14,,0.51,562.0
3.0,0.76,104.0,123775.0,1.0,7.0,153.59,28.01,1.8,
3.0,1.05,5.0,118322.0,1.0,10.0,1.19,14.97,2.16,503.0
1.0,1.55,25.0,72413.0,2.0,11.0,152.98,19.51,1.57,83.0
7.0,0.8,105.0,71482.0,3.0,16.0,123.36,14.68,2.15,622.0
6.0,0.99,63.0,31516.0,3.0,6.0,139.04,38.44,1.84,695.0
5.0,0.7,21.0,39782.0,4.0,6.0,179.72,,2.05,533.0
3.0,1.32,7.0,24582.0,2.0,,22.71,10.26,1.36,527.0
,1.04,4.0,74962.0,,15.0,155.54,26.88,0.9,370.0
4.0,0.92,86.0,112071.0,4.0,8.0,1.71,31.13,0.91,1100.0
5.0,0.97,13.0,104633.0,1.0,6.0,169.29,20.3,2.2,224.0
3.0,1.38,122.0,33921.0,2.0,15.0,129.61,24.69,0.78,659.0
1.0,0.75,19.0,109813.0,4.0,23.0,198.63,26.25,,23.0
5.0,1.47,148.0,52363.0,3.0,19.0,12.63,32.42,1.49,1363.0
1.0,,148.0,135733.0,3.0,14.0,119.33,17.3,1.7,734.0
6.0,1.27,141.0,133221.0,3.0,5.0,55.47,30.69,0.56,1182.0
7.0,1.56,100.0,109863.0,1.0,6.0,146.32,10.96,1.62,613.0
1.0,0.75,24.0,141292.0,1.0,18.0,18.98,28.4,1.76,593.0
3.0,1.16,115.0,130093.0,2.0,12.0,169.76,16.74,0.69,372.0
2.0,0.77,14.0,32126.0,2.0,18.0,,27.38,2.45,631.0
1.0,,41.0,50825.0,3.0,23.0,147.0,20.97,1.77,211.0
7.0,1.56,93.0,55929.0,3.0,6.0,155.2,14.28,1.78,746.0
7.0,0.91,145.0,22429.0,2.0,11.0,189.51,38.07,1.56,811.0
5.0,,80.0,73639.0,4.0,15.0,143.23,,1.56,714.0
1.0,1.28,33.0,76344.0,3.0,21.0,61.91,38.98,0.72,664.0
6.0,1.27,88.0,145629.0,,20.0,96.36,10.3,2.39,809.0
1.0,1.23,8.0,47043.0,1.0,9.0,175.82,,,-15.0
3.0,1.44,109.0,91051.0,4.0,14.0,,24.71,0.81,963.0
6.0,1.37,39.0,140506.0,2.0,5.0,125.46,10.19,1.9,484.0
6.0,1.2,56.0,105961.0,1.0,9.0,28.92,17.29,1.96,878.0
2.0,1.0,67.0,40918.0,4.0,6.0,177.86,19.3,1.31,247.0
6.0,1.09,37.0,135828.0,3.0,22.0,167.79,29.41,1.17,780.0
1.0,,148.0,110810.0,2.0,11.0,192.28,18.25,2.06,237.0
5.0,1.11,32.0,37010.0,1.0,21.0,90.77,33.64,1.35,755.0
7.0,1.28,,139534.0,2.0,16.0,71.3,33.7,2.17,1129.0
6.0,1.0,93.0,48060.0,2.0,7.0,0.32,28.22,1.25,1252.0
4.0,1.34,15.0,63240.0,4.0,12.0,134.84,16.31,2.2,434.0
2.0,,115.0,95242.0,4.0,12.0,71.15,12.09,1.19,602.0
1.0,1.14,40.0,23240.0,1.0,23.0,4.1,17.91,1.84,529.0
7.0,1.15,92.0,130540.0,,10.0,59.42,17.68,2.14,1017.0
6.0,1.5,61.0,86677.0,3.0,5.0,65.34,38.76,1.97,1084.0
4.0,1.44,72.0,106807.0,4.0,8.0,6.94,15.26,0.96,817.0
6.0,1.38,127.0,30313.0,2.0,5.0,,19.99,2.33,644.0
2.0,1.04,127.0,84604.0,3.0,14.0,99.54,31.83,2.16,687.0
4.0,1.14,25.0,72335.0,1.0,21.0,62.12,33.61,1.05,723.0
4.0,1.41,105.0,24011.0,3.0,19.0,17.28,,1.99,932.0
2.0,0.76,59.0,72091.0,3.0,10.0,116.48,31.25,0.64,353.0
2.0,1.27,148.0,85679.0,3.0,21.0,77.01,31.3,1.47,814.0
3.0,1.46,42.0,139392.0,2.0,20.0,99.28,17.95,2.26,624.0
4.0,0.91,78.0,101788.0,2.0,9.0,7.51,33.37,2.11,925.0
1.0,1.44,29.0,39810.0,3.0,22.0,96.13,20.07,2.16,373.0
7.0,1.5,40.0,,2.0,13.0,159.24,,0.7,941.0
4.0,1.46,110.0,109353.0,4.0,6.0,166.42,29.49,2.41,560.0
3.0,0.7,38.0,62025.0,3.0,21.0,58.28,12.15,1.08,605.0
4.0,1.12,9.0,146759.0,4.0,20.0,167.22,32.19,1.82,430.0
7.0,1.42,97.0,75934.0,3.0,21.0,37.07,17.82,2.12,1124.0
1.0,0.88,111.0,116426.0,4.0,15.0,63.3,30.02,0.9,729.0
,1.24,56.0,95483.0,1.0,17.0,89.59,31.42,2.13,475.0
7.0,0.9,131.0,93690.0,4.0,20.0,61.07,35.05,0.57,1230.0
3.0,1.19,,81360.0,4.0,24.0,141.56,33.02,0.77,761.0
3.0,1.0,99.0,103791.0,2.0,10.0,153.8,10.52,1.26,318.0
6.0,1.27,80.0,145180.0,4.0,6.0,187.25,17.46,0.88,521.0
7.0,1.21,46.0,52330.0,3.0,6.0,20.45,30.42,2.27,1192.0
6.0,0.95,144.0,103521.0,1.0,19.0,104.39,10.73,1.87,866.0
6.0,0.75,37.0,60277.0,1.0,9.0,117.24,24.48,2.41,548.0
4.0,1.39,61.0,85776.0,1.0,7.0,13.29,31.85,1.55,843.0
7.0,0.97,,42837.0,4.0,16.0,87.47,14.7,2.24,849.0
1.0,1.0,10.0,42469.0,3.0,22.0,182.99,27.02,0.61,166.0
2.0,,23.0,99823.0,2.0,11.0,20.0,12.85,0.73,547.0
2.0,0.74,143.0,125005.0,2.0,20.0,60.3,13.29,2.37,586.0
2.0,0.94,19.0,147043.0,2.0,14.0,45.38,13.92,1.89,418.0
2.0,1.18,128.0,74675.0,3.0,23.0,158.14,33.9,1.75,544.0
4.0,0.83,44.0,58729.0,2.0,10.0,122.38,20.82,2.31,566.0
1.0,1.26,23.0,103597.0,4.0,11.0,155.3,25.45,2.16,212.0
1.0,0.73,7.0,62065.0,2.0,20.0,65.61,39.8,1.73,622.0
7.0,1.19,49.0,70717.0,3.0,19.0,116.21,22.34,1.3,846.0
3.0,0.83,49.0,71428.0,1.0,18.0,97.97,13.97,1.87,301.0
3.0,0.83,90.0,65212.0,2.0,5.0,197.18,26.68,,238.0
4.0,0.99,98.0,23228.0,4.0,18.0,147.33,20.04,2.07,1260.0
1.0,1.26,76.0,125156.0,4.0,11.0,41.55,18.06,2.14,510.0
7.0,0.93,25.0,88546.0,2.0,21.0,162.4,21.37,2.0,641.0
7.0,0.97,142.0,132224.0,2.0,20.0,,19.91,1.72,1142.0
7.0,1.32,34.0,45791.0,3.0,17.0,54.28,12.54,1.55,960.0
1.0,1.48,15.0,21073.0,2.0,16.0,25.1,35.3,1.16,707.0
3.0,,14.0,116621.0,2.0,20.0,83.97,34.77,1.53,700.0
6.0,1.34,19.0,147466.0,4.0,,196.54,,1.48,676.0
3.0,1.2,76.0,50930.0,4.0,7.0,132.27,22.67,0.81,533.0
3.0,1.57,116.0,61910.0,4.0,21.0,33.2,14.99,2.32,830.0
6.0,0.98,1.0,144711.0,4.0,24.0,134.57,29.84,2.21,798.0
3.0,1.52,113.0,23089.0,4.0,24.0,111.96,24.55,1.52,784.0
7.0,1.14,36.0,52167.0,1.0,6.0,83.63,28.7,0.69,848.0
,1.49,54.0,139000.0,3.0,23.0,,29.97,2.33,1065.0
1.0,0.82,41.0,38557.0,1.0,8.0,139.59,30.16,0.55,164.0
3.0,0.71,32.0,78097.0,3.0,5.0,45.68,32.19,0.74,731.0
7.0,1.55,67.0,35479.0,3.0,12.0,110.7,14.62,0.77,878.0
5.0,,55.0,44354.0,1.0,10.0,147.79,17.07,1.31,471.0
5.0,1.24,92.0,80610.0,1.0,,18.45,28.48,0.7,959.0
5.0,1.19,73.0,33386.0,1.0,23.0,158.78,19.14,0.83,564.0
2.0,0.83,131.0,58968.0,3.0,5.0,50.16,25.77,1.65,
1.0,0.84,1.0,140641.0,3.0,9.0,95.88,28.21,1.83,343.0
7.0,1.25,69.0,133783.0,3.0,14.0,190.35,30.14,1.05,814.0
3.0,1.01,21.0,28433.0,1.0,19.0,128.46,23.0,1.48,267.0
2.0,1.44,9.0,128369.0,1.0,12.0,89.16,31.12,0.87,485.0
3.0,1.43,60.0,22892.0,1.0,19.0,6.27,38.98,2.03,980.0
4.0,1.59,95.0,32352.0,,10.0,78.39,27.55,0.56,1115.0
2.0,1.27,86.0,35823.0,1.0,8.0,68.77,33.58,2.3,674.0
7.0,1.44,63.0,139299.0,3.0,13.0,166.14,17.28,2.48,693.0
3.0,1.15,38.0,75830.0,2.0,24.0,124.38,26.52,0.91,478.0
5.0,1.33,77.0,92201.0,1.0,19.0,72.71,11.95,1.91,767.0
1.0,,,123864.0,4.0,20.0,53.38,21.21,2.03,809.0
1.0,0.72,40.0,133218.0,3.0,12.0,83.88,27.98,1.31,566.0
4.0,1.07,51.0,145156.0,1.0,24.0,117.72,38.35,1.73,672.0
3.0,1.09,4.0,68940.0,3.0,17.0,45.69,22.49,1.91,548.0
7.0,1.08,39.0,133089.0,3.0,15.0,164.73,38.24,2.29,771.0
6.0,1.16,13.0,78232.0,2.0,16.0,109.28,37.74,,654.0
6.0,1.56,102.0,35240.0,2.0,,83.1,15.97,2.04,783.0
4.0,1.31,82.0,,3.0,19.0,171.16,11.93,1.97,437.0
2.0,0.72,121.0,136869.0,3.0,24.0,190.88,37.9,1.82,615.0
2.0,0.92,46.0,148848.0,2.0,5.0,125.33,27.39,1.01,480.0
1.0,1.33,81.0,22881.0,3.0,11.0,149.83,30.57,0.81,527.0
5.0,1.14,83.0,71702.0,1.0,21.0,28.22,27.35,1.05,933.0
5.0,1.57,106.0,81084.0,1.0,5.0,,32.95,2.36,975.0
1.0,1.29,57.0,90456.0,3.0,,81.55,11.45,0.52,502.0
4.0,1.19,2.0,97654.0,,8.0,13.88,20.5,0.77,813.0
5.0,,8.0,149716.0,2.0,17.0,159.85,29.73,1.77,499.0
1.0,0.88,56.0,99436.0,3.0,22.0,173.29,34.99,1.33,266.0
3.0,1.19,148.0,33329.0,1.0,10.0,87.26,24.41,0.81,751.0
1.0,1.04,140.0,21577.0,2.0,24.0,45.94,,1.39,672.0
6.0,1.36,100.0,26464.0,4.0,13.0,190.66,12.65,0.56,513.0
5.0,1.28,29.0,58185.0,4.0,10.0,21.63,15.33,2.29,784.0
,0.93,42.0,93324.0,1.0,10.0,7.18,30.44,0.57,864.0
4.0,0.84,110.0,140667.0,1.0,7.0,113.01,17.45,0.54,1066.0
1.0,1.56,51.0,124824.0,2.0,5.0,125.03,28.91,1.88,388.0
4.0,0.74,78.0,129898.0,3.0,15.0,80.45,28.01,1.06,808.0
3.0,0.92,107.0,43760.0,4.0,24.0,131.09,38.47,2.43,763.0
3.0,1.36,66.0,27349.0,2.0,13.0,162.22,35.95,1.48,374.0
7.0,0.76,131.0,53541.0,4.0,21.0,145.42,28.12,1.17,908.0
2.0,1.59,136.0,121454.0,2.0,22.0,189.37,38.18,0.82,557.0
4.0,1.49,140.0,36121.0,,21.0,162.03,12.37,1.09,563.0
4.0,1.59,38.0,117889.0,3.0,18.0,168.72,29.31,0.52,597.0
2.0,0.85,110.0,39423.0,1.0,20.0,62.43,39.64,0.89,893.0
6.0,1.6,70.0,97355.0,2.0,17.0,155.99,30.47,0.53,728.0
7.0,1.31,71.0,138206.0,3.0,18.0,12.58,33.5,1.57,1253.0
,1.21,126.0,132564.0,4.0,10.0,19.11,34.39,2.44,1099.0
7.0,1.29,100.0,127585.0,3.0,7.0,11.07,16.56,2.18,1122.0
7.0,0.92,31.0,67894.0,1.0,13.0,,27.82,1.3,740.0
,0.79,98.0,106988.0,1.0,11.0,145.32,38.98,1.64,485.0
7.0,1.59,136.0,43283.0,4.0,23.0,177.77,21.86,1.99,1022.0
2.0,1.42,91.0,126847.0,4.0,,68.37,10.36,0.88,588.0
3.0,1.3,119.0,139159.0,4.0,22.0,192.22,31.36,2.02,580.0
7.0,1.19,92.0,60875.0,1.0,23.0,183.6,37.67,1.95,769.0
1.0,1.22,137.0,112759.0,2.0,9.0,129.56,23.72,0.7,423.0
5.0,1.26,94.0,77939.0,3.0,19.0,86.47,30.25,0.99,1035.0
7.0,1.41,119.0,122222.0,4.0,21.0,81.32,20.01,,1090.0
5.0,1.52,28.0,114342.0,1.0,14.0,78.8,,1.12,492.0
7.0,0.93,25.0,88546.0,2.0,21.0,162.4,21.37,2.0,641.0
5.0,0.92,126.0,79658.0,1.0,23.0,59.53,10.99,2.23,811.0
7.0,1.42,14.0,88367.0,3.0,11.0,12.31,28.52,0.88,1218.0
7.0,0.82,129.0,134826.0,1.0,7.0,55.22,16.15,,1021.0
5.0,1.44,49.0,114242.0,2.0,5.0,35.93,38.92,1.02,1067.0
3.0,0.76,5.0,39572.0,3.0,24.0,189.41,21.66,1.74,150.0
4.0,0.8,138.0,68639.0,4.0,24.0,69.09,32.4,1.43,1061.0
5.0,1.24,129.0,107333.0,2.0,17.0,137.47,14.92,1.64,683.0
7.0,1.56,105.0,124970.0,1.0,22.0,144.72,22.68,1.36,851.0
6.0,1.59,88.0,41398.0,3.0,7.0,14.07,37.64,1.08,1243.0
2.0,1.44,112.0,31357.0,4.0,14.0,42.04,26.11,1.75,835.0
6.0,0.72,81.0,128582.0,2.0,19.0,170.43,27.86,0.75,633.0
2.0,1.17,63.0,104335.0,3.0,24.0,193.81,32.25,1.62,318.0
5.0,1.12,100.0,117493.0,1.0,8.0,175.97,14.8,1.89,
4.0,1.38,33.0,59263.0,2.0,12.0,131.89,17.68,1.98,436.0
1.0,1.45,81.0,131581.0,1.0,7.0,64.61,29.77,0.99,435.0
1.0,1.4,63.0,77104.0,3.0,22.0,159.04,30.66,0.7,400.0
3.0,1.49,,146082.0,2.0,16.0,180.13,16.72,2.31,734.0
7.0,1.49,108.0,132651.0,1.0,21.0,4.01,36.63,2.44,1297.0
3.0,1.29,145.0,86985.0,1.0,20.0,4.06,25.97,1.88,995.0
6.0,1.41,57.0,102643.0,3.0,24.0,154.32,18.61,1.75,687.0
1.0,1.46,122.0,67631.0,4.0,13.0,172.58,16.32,2.24,217.0
2.0,0.88,110.0,111229.0,1.0,,179.76,10.5,1.37,122.0
3.0,0.92,9.0,62624.0,2.0,,133.84,16.54,0.51,383.0
4.0,1.13,86.0,89322.0,3.0,19.0,92.54,20.72,0.64,825.0
,0.72,95.0,122484.0,1.0,23.0,120.72,31.81,2.48,944.0
5.0,0.98,40.0,22795.0,4.0,9.0,2.13,27.25,1.05,1078.0
7.0,1.54,123.0,122552.0,3.0,21.0,55.05,29.79,2.44,1324.0
4.0,0.74,97.0,34506.0,,22.0,59.8,23.4,1.18,805.0
3.0,0.8,106.0,103400.0,1.0,9.0,133.32,29.99,0.75,519.0
6.0,1.52,74.0,122455.0,2.0,21.0,164.65,21.98,1.82,492.0
3.0,0.71,140.0,101149.0,2.0,11.0,58.86,34.03,0.86,954.0
5.0,1.37,3.0,89444.0,1.0,22.0,102.44,16.67,2.03,547.0
2.0,1.34,94.0,26997.0,2.0,7.0,79.25,33.46,0.88,770.0
1.0,1.31,,92903.0,4.0,8.0,83.53,27.1,1.45,402.0
1.0,0.73,44.0,129906.0,2.0,14.0,131.08,22.15,0.63,
4.0,0.78,61.0,21378.0,1.0,9.0,87.15,25.4,2.48,580.0
1.0,0.77,81.0,65246.0,2.0,12.0,150.76,11.24,0.55,127.0
4.0,0.89,50.0,46627.0,3.0,13.0,106.88,15.05,1.58,499.0
4.0,1.32,87.0,128047.0,4.0,18.0,4.51,28.35,0.64,1167.0
3.0,1.27,11.0,149526.0,3.0,16.0,164.44,23.01,1.12,301.0
6.0,1.54,,65349.0,3.0,12.0,184.75,30.62,0.77,755.0
1.0,1.56,145.0,108657.0,2.0,17.0,128.78,12.44,1.55,380.0
1.0,1.51,,129876.0,2.0,15.0,165.08,34.96,1.11,314.0
4.0,,67.0,106840.0,3.0,21.0,185.5,19.64,0.85,402.0
2.0,1.41,59.0,134881.0,4.0,18.0,186.07,29.37,0.82,291.0
1.0,1.06,113.0,138128.0,4.0,8.0,96.7,14.04,1.2,396.0
5.0,0.88,55.0,112172.0,2.0,18.0,168.9,18.24,0.84,349.0
6.0,1.22,83.0,52924.0,4.0,21.0,129.71,35.08,2.06,934.0
,1.57,57.0,115239.0,2.0,9.0,54.1,22.31,1.11,922.0
6.0,1.48,45.0,127792.0,2.0,7.0,47.94,16.46,1.97,820.0
2.0,1.39,80.0,126402.0,4.0,14.0,133.7,26.1,1.35,609.0
5.0,1.4,46.0,88447.0,3.0,17.0,125.3,33.07,0.78,758.0
4.0,0.89,87.0,95135.0,3.0,13.0,68.82,35.54,2.36,1770.0
5.0,0.93,126.0,72349.0,1.0,18.0,173.34,29.84,2.0,701.0
2.0,1.53,130.0,49424.0,4.0,8.0,0.9,18.11,0.9,941.0
5.0,0.89,87.0,126471.0,1.0,24.0,175.34,35.98,0.75,723.0
4.0,1.48,54.0,102476.0,3.0,23.0,,,0.6,1069.0
5.0,1.08,146.0,105216.0,2.0,12.0,72.5,35.51,0.68,1144.0
5.0,1.42,,93531.0,4.0,15.0,149.18,31.16,2.33,764.0
2.0,1.24,91.0,121711.0,2.0,8.0,165.06,23.26,2.23,222.0
,,35.0,134210.0,1.0,15.0,1.97,29.31,1.11,820.0
7.0,1.3,90.0,141169.0,4.0,20.0,12.77,19.67,0.52,1296.0
4.0,0.76,89.0,72116.0,1.0,,58.3,10.4,1.32,528.0
4.0,0.88,136.0,66233.0,4.0,8.0,163.48,27.93,2.09,477.0
5.0,0.76,111.0,146457.0,4.0,8.0,32.12,23.19,2.12,1085.0
5.0,1.13,16.0,115107.0,1.0,17.0,43.79,37.78,1.37,914.0
1.0,1.27,126.0,91833.0,1.0,11.0,156.94,27.26,2.02,259.0
4.0,0.72,135.0,118970.0,4.0,24.0,30.96,15.3,2.05,990.0
2.0,,45.0,89521.0,2.0,7.0,80.37,,2.1,496.0
7.0,1.06,115.0,49087.0,1.0,16.0,62.08,38.37,2.09,1170.0
4.0,1.52,83.0,83752.0,3.0,15.0,182.7,23.88,1.36,425.0
7.0,1.01,,114496.0,,15.0,196.93,11.15,1.64,585.0
7.0,1.34,4.0,87334.0,1.0,13.0,126.87,26.41,2.16,704.0
7.0,1.3,107.0,117975.0,3.0,21.0,71.56,39.57,2.47,1269.0
7.0,1.08,89.0,29327.0,1.0,,34.03,19.64,1.55,944.0
6.0,1.47,62.0,46327.0,3.0,11.0,96.72,30.4,0.51,1061.0
5.0,0.8,82.0,135159.0,1.0,19.0,79.87,19.26,1.66,707.0
3.0,1.28,132.0,138422.0,3.0,15.0,53.18,14.21,2.15,774.0
3.0,0.72,44.0,127468.0,3.0,,112.2,34.05,2.23,592.0
3.0,1.33,53.0,41042.0,1.0,23.0,161.17,33.6,1.94,
2.0,1.38,131.0,43345.0,1.0,21.0,,23.83,1.77,253.0
3.0,0.72,44.0,127468.0,3.0,,112.2,34.05,2.23,592.0
4.0,1.39,21.0,20060.0,4.0,20.0,181.56,24.9,1.45,381.0
4.0,1.2,9.0,101441.0,2.0,6.0,87.25,13.98,1.92,354.0
4.0,1.25,105.0,54565.0,1.0,23.0,88.15,28.0,1.62,785.0
5.0,0.71,141.0,30828.0,1.0,21.0,110.12,29.29,0.67,859.0
4.0,0.82,12.0,23114.0,1.0,13.0,199.86,27.75,0.87,196.0
